"Date/Time of transaction","Description","Amount (GBP)","Amount (in Charged Currency)","Currency","Category","Debit or Credit","Country"
"2024-09-20T13:44:07.199525","TfL - Transport for London","2.80","2.80","GBP","Transport","Debit","GBR"
"2024-09-20T12:26:14.1047","Urban Food Court","8.95","8.95","GBP","Eating Out","Debit","GBR"
"2024-09-20T12:20:31.392548","Zara","29.99","29.99","GBP","Shopping","Debit","GBR"
"2024-09-19T19:02:25.495855","Waitrose","3.49","3.49","GBP","Groceries","Debit","GBR"
"2024-09-19T17:35:30.421175","The Oyster Shed","7.85","7.85","GBP","Eating Out","Debit","GBR"
"2024-09-19T13:52:08.961784","TfL - Transport for London","2.70","2.70","GBP","Transport","Debit","GBR"
"2024-09-19T11:11:57.439475","Go Falafel","6.50","6.50","GBP","Eating Out","Debit","GBR"
"2024-09-18T21:11:15.936151","Slim Chickens","8.95","8.95","GBP","Eating Out","Debit","GBR"
"2024-09-18T19:42:33.054411","Wyndham's Theatre","4.75","4.75","GBP","Entertainment","Debit","GBR"
"2024-09-18T13:42:57.586239","TfL - Transport for London","2.80","2.80","GBP","Transport","Debit","GBR"
"2024-09-17T11:03:46.559452","Waitrose","3.49","3.49","GBP","Groceries","Debit","GBR"
"2024-09-17T02:19:02.859101","TFL Transport for London","2.80","2.80","GBP","Transport","Debit","GBR"
"2024-09-16T09:34:52.906023","TfL - Transport for London","4.90","4.90","GBP","Transport","Debit","GBR"
"2024-09-15T21:16:41.544372","Trainline","8.65","8.65","GBP","Transport","Debit","GBR"
"2024-09-15T15:39:29.735833","La Toque Cuivre","7.95","9.40","EUR","General","Debit","FRA"
"2024-09-15T15:26:23.539574","Carmel","3.80","4.50","EUR","Eating Out","Debit","FRA"
"2024-09-15T11:34:35.126937","Magasin Général","19.45","23.00","EUR","Eating Out","Debit","FRA"
"2024-09-15T09:11:10.832809","TotalEnergies","29.66","35.08","EUR","Transport","Debit","FRA"
"2024-09-14T15:20:17.648928","Ninba","0.92","1.09","EUR","Shopping","Debit","FRA"
"2024-09-14T12:18:03.459692","Auchan","6.48","7.66","EUR","Shopping","Debit","FRA"
"2024-09-14T09:42:30.740123","Uba","67.64","80.00","EUR","General","Debit","FRA"
"2024-09-13T18:00:23.332672","ALDI","21.43","25.34","EUR","Shopping","Debit","FRA"
"2024-09-13T14:51:06.999759","Les Delices D As","3.04","3.60","EUR","General","Debit","FRA"
"2024-09-13T14:48:52.862914","Les Delices D As","3.98","4.70","EUR","General","Debit","FRA"
"2024-09-12T14:14:16.736595","SPAR","2.12","2.50","EUR","Groceries","Debit","FRA"
"2024-09-12T13:35:57.551997","Boulangerie Lm","2.41","2.85","EUR","Groceries","Debit","FRA"
"2024-09-12T11:21:18.277351","Ike Poke","10.07","11.90","EUR","Eating Out","Debit","FRA"
"2024-09-12T06:17:17.501985","World Duty Free Gatwick","1.45","1.45","GBP","Shopping","Debit","GBR"
"2024-09-11T21:43:51.11468","Trainline","12.59","12.59","GBP","Transport","Debit","GBR"
"2024-09-11T17:29:25.013696","Waitrose","17.00","17.00","GBP","Groceries","Debit","GBR"
"2024-09-11T13:40:37.149876","TfL - Transport for London","2.80","2.80","GBP","Transport","Debit","GBR"
"2024-09-11T11:13:22.79322","Birley","7.75","7.75","GBP","Eating Out","Debit","GBR"
"2024-09-10T13:44:53.122745","TfL - Transport for London","5.50","5.50","GBP","Transport","Debit","GBR"
"2024-09-10T11:12:06.30754","K10","8.99","8.99","GBP","Eating Out","Debit","GBR"
"2024-09-09T12:09:49.126062","Itsu","5.65","5.65","GBP","Eating Out","Debit","GBR"
"2024-09-09T12:04:21.90896","Boots","8.61","8.61","GBP","Personal Care","Debit","GBR"
"2024-09-09T01:26:50.185099","TFL Transport for London","7.25","7.25","GBP","Transport","Debit","GBR"
"2024-09-08T14:44:33.813881","easyJet","141.97","141.97","GBP","Holiday","Debit","GBR"
"2024-09-08T13:04:20.921154","T4 Farringdon","4.80","4.80","GBP","Eating Out","Debit","GBR"
"2024-09-08T12:01:14.03387","Barbican Centre","14.95","14.95","GBP","Shopping","Debit","GBR"
"2024-09-07T12:24:24.23047","The Pear Tree - Square","4.30","4.30","GBP","Eating Out","Debit","GBR"
"2024-09-07T10:41:55.067982","ZipCar","10.00","10.00","GBP","Holiday","Debit","GBR"
"2024-09-06T20:31:23.545675","Sen - Vietnamese Kitchen and Bar","27.00","27.00","GBP","Eating Out","Debit","GBR"
"2024-09-06T12:19:43.765889","Tesco","3.15","3.15","GBP","Groceries","Debit","GBR"
"2024-09-05T17:46:19.43227","Tesco","13.85","13.85","GBP","Groceries","Debit","GBR"
"2024-09-04T18:06:08.080619","Tesco","7.75","7.75","GBP","Groceries","Debit","GBR"
"2024-09-04T11:22:23.382822","Itsu","5.65","5.65","GBP","Eating Out","Debit","GBR"
"2024-09-02T15:01:31.307606","Italo Treno","14.25","16.90","EUR","Transport","Debit","ITA"
"2024-09-01T14:52:08.958183","Pret A Manger","5.65","5.65","GBP","Eating Out","Debit","GBR"
"2024-09-01T14:22:57.129672","TfL - Transport for London","5.40","5.40","GBP","Transport","Debit","GBR"
"2024-09-01T12:11:15.601816","Greater Anglia","24.15","24.15","GBP","Transport","Debit","GBR"
"2024-08-31T20:44:25.526167","Comptoir","69.67","69.67","GBP","Eating Out","Debit","GBR"
"2024-08-31T20:43:41.787043","Comptoir","69.67","69.67","GBP","Eating Out","Debit","GBR"
"2024-08-31T14:13:35.620257","TfL - Transport for London","7.25","7.25","GBP","Transport","Debit","GBR"
"2024-08-30T19:43:42.685835","Uk Supermarket - Ppoint_","9.97","9.97","GBP","Groceries","Debit","GBR"
"2024-08-30T12:17:35.860484","Lasagneria Italiana","8.00","8.00","GBP","Eating Out","Debit","GBR"
"2024-08-30T02:31:16.27753","TFL Transport for London","2.70","2.70","GBP","Transport","Debit","GBR"
"2024-08-29T21:45:47.216445","Crust Bros","19.69","19.69","GBP","Eating Out","Debit","GBR"
"2024-08-28T07:52:44.888921","Comparemanvan","79.80","79.80","GBP","Transport","Debit","GBR"
"2024-08-27T21:26:20.575113","Tesco","7.55","7.55","GBP","Groceries","Debit","GBR"
"2024-08-27T13:36:32.012686","TfL - Transport for London","4.60","4.60","GBP","Transport","Debit","GBR"
"2024-08-27T11:17:20.617022","Sainsbury's","5.00","5.00","GBP","Groceries","Debit","GBR"
"2024-08-26T15:59:31.443522","Oddono's","12.85","12.85","GBP","Groceries","Debit","GBR"
"2024-08-26T14:51:04.64967","Acoustic Brasserie","26.67","26.67","GBP","Eating Out","Debit","GBR"
"2024-08-26T09:49:52.274519","TfL - Transport for London","4.90","4.90","GBP","Transport","Debit","GBR"
"2024-08-25T15:30:25.233086","Kew Gardens","48.33","48.33","GBP","Entertainment","Debit","GBR"
"2024-08-25T09:19:56.593449","See Tickets","11.00","11.00","GBP","Entertainment","Debit","GBR"
"2024-08-23T17:22:25.352005","Waitrose","4.82","4.82","GBP","Groceries","Debit","GBR"
"2024-08-23T17:19:06.091129","Tesco","8.80","8.80","GBP","Groceries","Debit","GBR"
"2024-08-23T12:10:36.720537","K10","8.99","8.99","GBP","Eating Out","Debit","GBR"
"2024-08-22T19:26:26.551254","TFL Transport for London","2.80","2.80","GBP","Transport","Debit","GBR"
